year,asset_id,native_asset_id,asset_name,iso3_country,original_inventory_sector,activity,emissions_quantity,emissions_quantity_new,emissions_quantity_avoided,annexOrNot,lat,lon
2023,729534,met6098,OpenStreetMap Landfill,MDA,solid-waste-disposal,46105.31053,2791.215499,390.0970324,2401.118467,false,47.0154851,28.68014688
2023,25770890,lmop797,Terrebonne Parish Lf,USA,solid-waste-disposal,58878.12,2898.923116,498.1677733,2400.755343,true,29.5182,-90.6701
2023,728367,met3407,OpenStreetMap Landfill,TUR,solid-waste-disposal,55426.24574,2869.416742,468.9614652,2400.455277,true,39.68568988,34.58199944
2023,25767888,epa50,West Kentucky Landfill,USA,solid-waste-disposal,223417.0266,4290.723996,1890.331462,2400.392534,true,36.7149,-88.6748
2023,25769388,eprtr144,"Vertresa-Urbaser, S.A. Ute (Ute Las Dehesas)",ESP,solid-waste-disposal,55989.91695,2873.626498,473.7306873,2399.89581,true,40.336427,-3.590375
2023,25770191,eprtr947,"Pirkanmaan Jätehuolto Oy, Tarastenjärven Jätteenkäsittelykeskus",FIN,solid-waste-disposal,55989.91695,2873.626498,473.7306873,2399.89581,true,61.54437,23.9836
2023,25768569,epa730,Montmorency-Oscoda-Alpena Waste Manageme,USA,solid-waste-disposal,83624.76254,3101.642443,707.5491159,2394.093327,true,44.935,-84.12
2023,25768385,epa546,Reichs Ford Municipal Landfill & Recycling Center,USA,solid-waste-disposal,7861.48679,2459.151683,66.51603973,2392.635643,true,39.3754,-77.3528
2023,728987,met4047,OpenStreetMap Landfill,RUS,solid-waste-disposal,64538.1928,2938.101227,546.0576492,2392.043578,true,57.89695939,39.56692929
2023,725222,mex613,Basurero Municipal,MEX,solid-waste-disposal,72661.22976,3003.524593,614.786665,2388.737928,false,27.913,-101.1744444
2023,728989,met4049,OpenStreetMap Landfill,RUS,solid-waste-disposal,62488.65171,2915.595512,528.7164822,2386.87903,true,58.15540619,40.03355276
2023,728300,met3340,OpenStreetMap Landfill,TUR,solid-waste-disposal,54389.78419,2846.761305,460.1919641,2386.569341,true,40.23868633,32.81208756
2023,727321,met305,OpenStreetMap Landfill,CRI,solid-waste-disposal,62553.46287,2915.679458,529.2648494,2386.414609,false,8.674732804,-82.99325592
2023,727753,met2557,OpenStreetMap Landfill,AUS,solid-waste-disposal,132322.2662,3505.613799,1119.578694,2386.035104,true,-34.17795971,151.0016474
2023,726321,mex1605,Relleno Sanitario Municipio De Salvatierra,MEX,solid-waste-disposal,68347.49968,2964.299409,578.2881948,2386.011214,false,20.226895,-100.843146
2023,730009,met6573,OpenStreetMap Landfill,JPN,solid-waste-disposal,106930.2671,3288.747295,904.7369899,2384.010305,true,34.77007509,134.7365882
2023,728140,met3180,OpenStreetMap Landfill,TUR,solid-waste-disposal,59648.75252,2887.715407,504.688095,2383.027312,true,37.33596217,30.75239809
2023,727923,met2727,OpenStreetMap Landfill,PHL,solid-waste-disposal,123140.2128,3424.036758,1041.889341,2382.147417,false,14.87300569,120.6775255
2023,729793,met6357,OpenStreetMap Landfill,TWN,solid-waste-disposal,118009.2866,3378.487867,998.4765743,2380.011293,false,24.41710327,118.4485015
2023,25776477,gpw80,"Oko Orisa, Epe, Lagos",NGA,solid-waste-disposal,61896.30079,2902.193752,523.704601,2378.489151,false,6.5643224,3.937061341
2023,25776470,gpw73,"Villa Hermosa, La Romana, Dominican Republic",DOM,solid-waste-disposal,65228.68684,2930.20307,551.8999193,2378.303151,false,18.46597609,-69.10359612
2023,729437,met5911,OpenStreetMap Landfill,UKR,solid-waste-disposal,52260.86048,2820.309597,442.1791405,2378.130456,true,48.97049626,32.17926979
2023,727779,met2583,OpenStreetMap Landfill,AUS,solid-waste-disposal,138678.5767,3549.47817,1173.359437,2376.118733,true,-32.25821725,150.9165222
2023,725828,mex1194,Deposito De Basura De Bacobampo,MEX,solid-waste-disposal,71708.85125,2981.725744,606.7285904,2374.997153,false,26.967972,-109.685704
2023,25770836,lmop743,Washington Lf Inc.,USA,solid-waste-disposal,54786.72,2838.39039,463.5504379,2374.839952,true,40.6901,-89.4163
2023,728255,met3295,OpenStreetMap Landfill,TUR,solid-waste-disposal,57351.92843,2855.323109,485.2546665,2370.068442,true,40.29122879,28.67023718
2023,727298,met282,OpenStreetMap Landfill,BOL,solid-waste-disposal,60974.33351,2884.57377,515.9038359,2368.669934,false,-16.39811691,-61.00597297
2023,25769371,eprtr127,Ecoparque Gran Canaria Norte,ESP,solid-waste-disposal,55204.0936,2833.2949,467.0818359,2366.213064,true,28.06,-15.42
2023,728411,met3451,OpenStreetMap Landfill,TUR,solid-waste-disposal,53103.68001,2815.397803,449.3102366,2366.087567,true,38.6618207,36.31942704
2023,25776456,gpw59,"Baravanipalem, Visakhapatnam (Rural), Visakhapatnam",IND,solid-waste-disposal,66001.77229,2921.502449,558.4409954,2363.061453,false,17.8390145,83.37089022
2023,25776466,gpw69,"Sh6, Jamnagar, Jamnagar City Taluka",IND,solid-waste-disposal,58900.99384,2859.230944,498.3613089,2360.869635,false,22.45482411,70.0256039
